store_id,facility_name,brand_name,address
45fdcc51-cb67-3fec-88d4-5a8afdf88052,Frank and Furter's Restaurant and Bar,The Grilled Cheese Spot - CA,"172 King St, London, ON N6A 1C6, Canada"
0569faac-ab6b-37d9-8b4a-4f1d13ae79fb,Mila Mexican Restaurant and Bar-,Munchwrap Market - CA,"40 Winges Rd, Woodbridge, ON L4L 6B2, Canada"
517d4a0b-bbf5-39fb-a2b5-b02adf44ae9d,Frank and Furter's Restaurant and Bar,The Patty Shack - CA,"172 King St, London, ON N6A 1C6, Canada"
2a5f2f94-70aa-3dec-82a0-f7882462cd1c,The Food Emporium (170 Doughton Road),The Grilled Quesadilla Company - CA,"170 Doughton Rd, Concord, ON L4K 4H7, Canada"
550ee933-0fcd-36e6-84a8-050ec32ec3c3,Cucini Xpress,Nonna's Table - CA,"75 Consumers Dr, Whitby, ON L1N 9S2, Canada"
2234b837-3445-3fd6-9033-eef62efb9bb4,The Wolf & Hound,Hot Wing House - CA,"3617 W Broadway, Vancouver, BC V6R 2B8, Canada"
4dabaea4-1b42-35a3-9ad7-f6db375334fd,Mila Mexican Restaurant and Bar-,Twisted Tortilla: Burritos and Bowls - CA,"40 Winges Rd, Woodbridge, ON L4L 6B2, Canada"
c462f6ef-5638-3b12-96df-93e48a6e5dbe,Deacon's Corner,Lone Star Breakfast Sandwich - CA,"101 Main St, Vancouver, BC V6A 2S5, Canada"
f1a7b9e9-ec47-359c-ae12-6378319dfb5c,The Food Emporium (170 Doughton Road),Bunny and Ray's - CA,"170 Doughton Rd, Concord, ON L4K 4H7, Canada"
c2c31cfd-ea93-39b2-88d2-c0a7a672e274,Frank and Furter's Restaurant and Bar,The Grilled Quesadilla Company - CA,"172 King St, London, ON N6A 1C6, Canada"
a977ae26-7e70-31c6-8a75-cbf872589248,Little George's Pizza & Pasta Local Guys - Nanaimo,Calzone Zone - CA,"4-6404 Metral Dr, Nanaimo, BC V9T 2L8, Canada"
e6913184-e308-463a-968a-0c03b6d97984,Our Spot - Danforth Ave,Butterflake Croissant Sandwiches - CA,"1779 Danforth Ave, Toronto, ON M4C 1J2, Canada"
3532dba2-4765-3ac4-bd3f-8132851324ed,Little George's Pizza & Pasta Local Guys - Nanaimo,Hot Wing House - CA,"4-6404 Metral Dr, Nanaimo, BC V9T 2L8, Canada"
3c9f3016-66d9-31e2-80d1-7170d7e12800,Good Eats Cafe - Bell St North,The Grilled Cheese Spot - CA,"207 Bell St N, Ottawa, ON K1R 0B9, Canada"
476a300d-bdb8-305e-88f8-29b268212fd1,Friends Pizza & Pasta - Calgary,Calzone Zone - CA,"2066 18 Ave NE, Calgary, AB T2E 8N5, Canada"
29edabc7-5ebe-3600-a09b-f8580c7f275b,The Food Emporium (170 Doughton Road),Hot Wing House - CA,"170 Doughton Rd, Concord, ON L4K 4H7, Canada"
80440a1a-2c7c-39c1-9c89-8fb0aaf0fd3e,Friends Pizza & Pasta - Calgary,Hot Wing House - CA,"2066 18 Ave NE, Calgary, AB T2E 8N5, Canada"
c51b1b06-db6f-4857-a0f6-a731cf4f0c62,Our Spot - Danforth Ave,The Grilled Cheese Spot - CA,"1779 Danforth Ave, Toronto, ON M4C 1J2, Canada"
b677c74a-c8b3-3d04-857d-69ade18912b4,Boss Pizza - Edmonton,Calzone Zone - CA,"10404 64 Ave NW, Edmonton, AB T6H 1S7, Canada"
12228642-c461-35d0-9944-74a117ef300a,Boss Pizza - Edmonton,Hot Wing House - CA,"10404 64 Ave NW, Edmonton, AB T6H 1S7, Canada"
b9114930-85b9-3676-a63b-7eba98d0661d,Boss Pizza - Edmonton,Smash Shack Burger Bar - CA,"10404 64 Ave NW, Edmonton, AB T6H 1S7, Canada"
317ad38f-7be8-3b29-a3cd-1a1e6f1bf2f8,Frank and Furter's Restaurant and Bar,Hot Wing House - CA,"172 King St, London, ON N6A 1C6, Canada"
274d61bd-8fc2-3a71-b8a5-49a2c435e8bc,The Food Emporium (170 Doughton Road),The Grilled Cheese Spot - CA,"170 Doughton Rd, Concord, ON L4K 4H7, Canada"
89259ff5-fe3b-3b23-a6e6-768c372379bf,Cucini Xpress,Hot Wing House - CA,"75 Consumers Dr, Whitby, ON L1N 9S2, Canada"
5759e71e-2fe5-3028-84e3-1dd55aacbc09,Boss Pizza & Bar - Edmonton,Hot Wing House - CA,"5051 Ellerslie Rd SW, Edmonton, AB T6X 1A4, Canada"
fd203a25-0714-3c9b-b90e-80292eca4056,Cucini Xpress,The Patty Shack - CA,"75 Consumers Dr, Whitby, ON L1N 9S2, Canada"
18bfc6cd-7491-333c-a996-27ea362bd114,Boss Pizza & Bar - Edmonton,Calzone Zone - CA,"5051 Ellerslie Rd SW, Edmonton, AB T6X 1A4, Canada"
06653c46-36f1-3268-aad9-e36d6fda33fb,Frank and Furter's Restaurant and Bar,Smash Shack Burger Bar - CA,"172 King St, London, ON N6A 1C6, Canada"
dc8a6d93-8665-37d2-8fb3-09849b8be7d2,Deacon's Corner,The French Toaster - CA,"101 Main St, Vancouver, BC V6A 2S5, Canada"
b85b0feb-3c8f-3209-bd34-66aff28b3046,Cucini Xpress,The Panini Press - CA,"75 Consumers Dr, Whitby, ON L1N 9S2, Canada"
abc6a378-f94d-4bdf-ab04-eaacd3a3e558,Pizza Fiamma - Hamilton,Nonna's Table - CA,"54 Queen St S, Hamilton, ON L8P 3R5, Canada"
93f8ceb3-86c3-3231-86a5-288a674de264,The Wolf & Hound,Smash Shack Burger Bar - CA,"3617 W Broadway, Vancouver, BC V6R 2B8, Canada"
edae7105-bfbe-44dd-bc35-f57aa2db72cb,Our Spot - Danforth Ave,Golden Griddle Pancakes - CA,"1779 Danforth Ave, Toronto, ON M4C 1J2, Canada"
7477cdc2-1057-337b-89af-c05813b85428,Friends Pizza & Pasta - Calgary,Nonna's Table - CA,"2066 18 Ave NE, Calgary, AB T2E 8N5, Canada"
97d21a89-be5f-3f63-ad9f-b4330ca30c76,Boss Pizza - Edmonton,Nonna's Table - CA,"10404 64 Ave NW, Edmonton, AB T6H 1S7, Canada"
708d71be-4eb3-3dbc-891c-1184c87a4ee5,Good Eats Cafe - Bell St North,The Patty Shack - CA,"207 Bell St N, Ottawa, ON K1R 0B9, Canada"
a6d5935e-944a-3ad3-8e5d-5086c728b291,Pizza Fiamma - Hamilton,Calzone Zone - CA,"54 Queen St S, Hamilton, ON L8P 3R5, Canada"
8c3d989a-ab2e-30b3-b81e-8c46a4ed0335,The Food Emporium (170 Doughton Road),Nonna's Table - CA,"170 Doughton Rd, Concord, ON L4K 4H7, Canada"
aae86e9d-6a33-3d16-9895-a5d8a69d2cfc,Deacon's Corner,Golden Griddle Pancakes - CA,"101 Main St, Vancouver, BC V6A 2S5, Canada"
6af6e736-55e4-3f51-b3ee-2bda1117d1a3,Mila Mexican Restaurant and Bar-,The Grilled Quesadilla Company - CA,"40 Winges Rd, Woodbridge, ON L4L 6B2, Canada"
633a6da8-729f-3925-bebf-c7fc87cdc3df,Pizza Fiamma - Hamilton,Hot Wing House - CA,"54 Queen St S, Hamilton, ON L8P 3R5, Canada"
48333953-e12e-3fdd-b259-798678da7156,Deacon's Corner,Bedhead Breakfast Burritos & Bowls - CA,"101 Main St, Vancouver, BC V6A 2S5, Canada"
bf2653e0-f2ad-393c-9c4a-398127653694,Deacon's Corner,Eggy's Bagel Breakfast Sandwich - CA,"101 Main St, Vancouver, BC V6A 2S5, Canada"
9c8e7786-3647-4a21-be67-dd12e03775ab,Our Spot - Danforth Ave,Eggy's Bagel Breakfast Sandwich - CA,"1779 Danforth Ave, Toronto, ON M4C 1J2, Canada"
c11bf3ab-7a4b-3505-9c6f-6e2f1eac7c6e,Cucini Xpress,The Grilled Quesadilla Company - CA,"75 Consumers Dr, Whitby, ON L1N 9S2, Canada"
